;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"05-03 06";0,05865908;-0,7632184;-0,6256433;-0,3657776;-0,810654;-0,1486008;-0,9459367;-0,05638558;0,2554517;0,2188941
"05-03 07";-0,1275279;-0,713701;-0,5666062;-0,5110192;-0,834627;-0,1486008;-0,8706073;-0,07026915;0,1895792;0,2075483
"05-03 08";-0,342938;-0,3676742;-0,4226956;-0,385915;-0,8127953;-0,1486008;-0,670239;0,01143478;-0,02874432;0,3568815
"05-03 09";-0,482964;-0,1133033;-0,2234076;-0,4869711;-0,9521506;-0,1486008;-0,4169921;-0,01886307;-0,04724196;0,3451556
"05-03 10";-0,5260722;-0,632404;-0,4894263;-0,6331562;-0,5325975;-0,1486008;-0,7630272;-0,2484989;-0,1614871;0,1871586
"05-03 11";-0,06258768;-1,300536;-0,9166057;-0,08140715;-0,5703123;-0,1486008;-1,341985;-0,3221733;-0,3194497;-0,06456489
"05-03 12";0,03896525;-1,087947;-0,8007904;0,0701759;-0,9528764;-0,1486008;-1,195988;-0,09452929;-0,1875677;-0,1693819
"05-03 13";-0,5156862;-0,5557854;-0,5266405;0,01744469;-0,1788326;-0,1486008;-0,8083453;0,05110881;-0,1252331;-0,01237945
"05-03 14";-0,6216655;0,05253676;-0,2366413;-0,4040452;-0,06910927;-0,1486008;-0,2062414;0,1010433;0,09285447;0,08359107
"05-03 15";-0,5457017;0,3953283;-0,0909039;-0,1250115;0,1352907;-0,1486008;0,012421;0,03682101;0,2082346;0,01551331
"05-03 16";-0,5514922;0,074265;-0,1870457;-0,005358793;0,6507396;-0,1486008;-0,1334792;-0,1720568;0,2970501;-0,02276153
"05-03 17";-0,2363386;-0,4401009;-0,3679732;0,3230976;0,1577123;-0,1486008;-0,1725988;-0,2696121;0,4903549;-0,1331542
"05-03 18";0,02420838;-0,5544191;-0,5444679;0,4651336;0,06950966;-0,1486008;-0,4439673;-0,1577484;0,6780971;-0,265519
"05-03 19";0,2726535;-0,1425116;-0,336155;0,5355952;-0,01707712;-0,1486008;-0,1201268;-0,02089288;0,9879378;-0,007256053
"05-03 20";0,2572504;0,08652048;-0,1420452;0,7415773;-0,4829498;-0,1486008;0,1639663;-0,01767519;1,159275;0,3942675
"05-03 21";0,5983019;-0,03624024;-0,2538342;0,5599719;-0,6881791;-0,1486008;0,2123403;-0,1284193;1,19745;0,6795087
"05-03 22";0,7977365;-0,2432812;-0,2674401;0,4539092;-0,6776333;-0,1486008;0,1850067;-0,1692681;1,161972;0,7113543
