RIS-QI01_TT;IPU-FB18;SAN3-FB01;ANL1-QI02;ANL1-QI01;SAN3-ML01;POL_FT04;IPU_LT01;SED5-QI11;SED5-QI01
8,454108238;3202,124974;515,4635442;320,3663798;8,058519684;31,89999962;3,127140433;2,527237536;24,03489832;10,44972886
8,454108238;3174,419809;523,419279;330,0985432;8,039990157;31,89999962;3,086234536;2,520216596;24,0375366;10,05653684
8,453726768;3165,473563;539,7635177;332,195083;8,028636685;31,89999962;3,188783248;2,515042606;24,21763987;9,429218616
8,454108238;3159,312226;553,5911723;336,0559615;8,017020984;31,89999962;3,276364203;2,504078292;24,26566;9,376624192
8,453726768;3158,961016;571,7019164;338,2728532;8,007726347;31,89999962;3,385068367;2,498916864;24,26566;9,140791352
8,454108238;3140,798036;585,2075766;337,0997018;8,005171967;31,89999962;3,520007535;2,494792492;24,26566;8,928952343
8,453725433;3151,190932;586,1392434;332,3376306;8,003750485;31,89999962;3,532193737;2,48523458;24,26566;8,959367013
8,454108238;3145,227285;586,1624489;332,9841198;8,004502202;31,89999962;3,537712456;2,487388395;24,26566;9,242444755
8,453725243;3151,144004;582,060243;324,5346613;8,007036141;31,89999962;3,520245241;2,47176911;24,26566;9,213944334
8,454108238;3127,442701;574,2716222;324,6888923;8,008897909;31,89999962;3,522579862;2,453846002;24,26566;9,287240516
8,454108238;3103,373397;565,663357;323,5915395;8,011757278;31,89999962;3,441307171;2,440164241;24,26566;9,312200303
8,453726578;3088,386335;554,3510095;322,4463905;8,019981326;31,89999962;3,355400036;2,424287509;24,26566;9,428334874
8,454108238;3077,237963;544,8345872;315,8336645;8,028683188;31,89999962;3,272986999;2,413097925;24,25374763;10,13101264
8,453724861;3064,127886;537,2502137;316,7699299;8,034891056;31,89999962;3,284205649;2,399534307;24,2481117;10,95831309
8,454108238;3047,106527;534,4581592;318,8348773;8,040995091;31,89999962;3,181250319;2,387675032;24,2481117;10,70288111
8,454108238;3018,854067;534,1156964;316,7920378;8,050056282;31,89999962;3,221364675;2,38360011;24,2481117;10,55360168
8,454108238;3019,769412;533,0768243;316,4923301;8,059869161;31,89999962;3,197214822;2,384678094;24,2481117;10,86347671
8,454108238;3022,18078;531,687704;320,3918256;8,068140196;31,89999962;3,183108847;2,386862894;24,2481117;10,73978518
8,454108238;3009,933898;532,491625;320,935219;8,074435134;31,89999962;3,223087852;2,38440018;24,2481117;10,7987964
8,453726578;3006,761911;530,5085808;316,8257056;8,078774748;31,89999962;3,197501809;2,380209561;24,2481117;10,76397086
8,454108238;3020,121076;530,4634646;317,251398;8,083174564;31,89999962;3,176659443;2,376114875;24,2481117;10,12684627
8,454491615;3010,696349;527,32852;319,0362015;8,08837895;31,89999962;3,15220726;2,372416033;24,2481117;10,27153007
8,453917694;2995,063151;525,6096472;319,5575724;8,090319167;31,89999962;3,177048707;2,366971037;24,23476061;10,64651523
8,454108238;2967,554496;521,206433;325,0115156;8,09743881;31,89999962;3,131394381;2,370549803;24,2305641;11,1337578
8,454108238;2973,402269;516,8179586;325,9337405;8,099034544;31,89999962;3,105739062;2,379247333;24,2305641;11,86211666
8,454108238;2991,303505;517,7756977;325,6675095;8,100021236;31,89999962;3,097933746;2,385725987;24,2305641;11,62147328
8,454108238;2983,599183;517,1705581;325,3524139;8,098724339;31,89999962;3,142603621;2,386773327;24,2305641;11,2997978
8,453724861;2966,546537;517,9741251;325,4708583;8,095772168;31,89999962;3,134543547;2,377559615;24,2305641;10,80108897
