;"RIS-QI01_TT";"IPU-FB18";"SAN3-FB01";"ANL1-QI02";"ANL1-QI01";"SAN3-ML01";"POL_FT04";"IPU_LT01";"SED5-QI11";"SED5-QI01"
"20.02.2023";-0,6221809;-0,5473216;-0,5953628;-0,6827851;-0,7404253;-0,5418854;-0,6500459;-0,6475303;-0,5824365;-0,7902376
"20.02.2023";-0,6148971;-0,5412517;-0,5803557;-0,6710286;-0,7299752;-0,5315475;-0,6516156;-0,6582741;-0,5666528;-0,7828223
"20.02.2023";-0,6202728;-0,5457314;-0,5754414;-0,6730605;-0,7317813;-0,528116;-0,6364583;-0,6573866;-0,5518728;-0,7759092
"20.02.2023";-0,6013886;-0,5299947;-0,5323998;-0,6420681;-0,7042325;-0,4935292;-0,5895106;-0,6248188;-0,5110186;-0,7359287
"20.02.2023";-0,6178921;-0,5437476;-0,5230042;-0,6358618;-0,6987158;-0,4855345;-0,5537177;-0,6073378;-0,4870653;-0,7104577
"20.02.2023";-0,65162;-0,5718541;-0,5214075;-0,6377842;-0,7004246;-0,4933632;-0,540645;-0,611412;-0,4724435;-0,6931612
"20.02.2023";-0,6776272;-0,5935268;-0,5161943;-0,6323964;-0,6978572;-0,4886028;-0,5259987;-0,6092131;-0,4473945;-0,6617259
"20.02.2023";-0,6631712;-0,5814801;-0,5075715;-0,6210774;-0,6897432;-0,484253;-0,5294949;-0,617355;-0,4559056;-0,6739033
"20.02.2023";-0,6417886;-0,5636613;-0,4913903;-0,6025846;-0,6731699;-0,4676653;-0,5262502;-0,6149668;-0,4492881;-0,6701916
"20.02.2023";-0,6134788;-0,5400698;-0,4534242;-0,5666756;-0,6416674;-0,428156;-0,4928088;-0,5795515;-0,4091858;-0,6279479
"20.02.2023";-0,6057353;-0,5336169;-0,464766;-0,5775667;-0,651089;-0,4413111;-0,5152348;-0,6055347;-0,4341544;-0,6634351
"20.02.2023";-0,6313816;-0,5549888;-0,4793192;-0,5899293;-0,6616842;-0,445651;-0,5186681;-0,5992141;-0,419612;-0,6504881
"20.02.2023";-0,6390954;-0,561417;-0,4997512;-0,6061123;-0,6764935;-0,4620939;-0,5435624;-0,6075554;-0,4393631;-0,6739779
"20.02.2023";-0,6590343;-0,5780327;-0,5550302;-0,6498724;-0,7155066;-0,497038;-0,5851434;-0,6210025;-0,4756761;-0,7178223
"20.02.2023";-0,6869413;-0,6012886;-0,6200668;-0,7008665;-0,7606672;-0,5538557;-0,6731244;-0,6807702;-0,5433857;-0,7958553
"20.02.2023";-0,6973919;-0,6099974;-0,659756;-0,732498;-0,7887843;-0,5795407;-0,7185633;-0,6989689;-0,5767533;-0,8324531
"20.02.2023";-0,6887046;-0,6027579;-0,6826179;-0,7495496;-0,8049244;-0,6015552;-0,7577673;-0,7262948;-0,6179249;-0,8809452
"20.02.2023";-0,6559045;-0,5754246;-0,6590364;-0,7303466;-0,7888339;-0,5821992;-0,7524539;-0,7196266;-0,6195335;-0,8787256
"20.02.2023";-0,6430889;-0,5647449;-0,6469917;-0,729451;-0,7880378;-0,5872387;-0,7508464;-0,7313532;-0,6487079;-0,9006123
"20.02.2023";-0,7256984;-0,6335862;-0,681071;-0,7649665;-0,8196071;-0,635447;-0,7665769;-0,7743205;-0,6630272;-0,9047779
"20.02.2023";-0,6795998;-0,5951706;-0,6169319;-0,7121292;-0,7726407;-0,5839758;-0,7090815;-0,7417464;-0,6388248;-0,8582283
"20.02.2023";-0,6940097;-0,6071789;-0,5881822;-0,6884187;-0,7517164;-0,5505317;-0,6448081;-0,7042288;-0,5903593;-0,783619
"20.02.2023";-0,6467941;-0,5678326;-0,5072961;-0,6230406;-0,693603;-0,4955266;-0,5740459;-0,6683783;-0,5589657;-0,7318253
"20.02.2023";-0,5541877;-0,4906605;-0,3360771;-0,4758496;-0,5626143;-0,3696283;-0,3972941;-0,5788326;-0,4502121;-0,5976506
"20.02.2023";-0,4568457;-0,4095422;-0,1485584;-0,3135955;-0,4183885;-0,2281293;-0,2202956;-0,4670185;-0,3158608;-0,4397894
"20.02.2023";-0,5004589;-0,4458866;-0,1771529;-0,3388906;-0,440873;-0,2460176;-0,235845;-0,4550506;-0,2948537;-0,4241125
"20.02.2023";-0,7054304;-0,6166961;-0,4563113;-0,5802898;-0,6554501;-0,4757289;-0,4964021;-0,5992367;-0,4581183;-0,6304137
"20.02.2023";-0,7787312;-0,6777802;-0,6319904;-0,7258725;-0,7848569;-0,6100885;-0,6641721;-0,713094;-0,5846887;-0,79817
"20.02.2023";-0,8047442;-0,6994576;-0,7142999;-0,7919235;-0,8435689;-0,6669016;-0,7541935;-0,7524905;-0,6382643;-0,8734164
"20.02.2023";-0,8523635;-0,7391404;-0,8170473;-0,8746864;-0,917136;-0,7490197;-0,8606731;-0,816727;-0,7082539;-0,9716077
"20.02.2023";-0,8238743;-0,7153994;-0,8464382;-0,8966528;-0,9366617;-0,7677525;-0,9214307;-0,8542686;-0,7525768;-1,031858
"20.02.2023";-0,7627058;-0,6644256;-0,7997345;-0,8547053;-0,899375;-0,7361401;-0,8941102;-0,8235358;-0,7487532;-1,032721
"20.02.2023";-0,7350166;-0,6413513;-0,7844608;-0,8440273;-0,8898834;-0,7257668;-0,8997923;-0,8384875;-0,7581025;-1,038295
